kernel,class,class_cap,app_cap,tier_nodes,stop,iterations,applications,classes_at_stop,live_classes,objective,shared_pass_bytes,input_nodes,compiled_nodes,bytes,dag_cost,schedule,selects,guarded,exclusive,spill_slots,hoisted,same_form_nan_mismatch,same_form_max_abs,packed_mismatch_same,optimize_ms,emit_ms,sat_wall_ms,peak_alloc_mb,git_sha
glyph16_U002C,glyph16,10000,200000,199,quiesced,7,28182,2752,268,tree_cheaper,5252,207,88,1072,276,51,5,43,58,0,15,0,0.0000011920928955078125,0,219.166,1.292,218.381,1.33,a1d56ee4
glyph16_U002D,glyph16,10000,200000,123,quiesced,7,12610,1138,110,tree_cheaper,1232,131,47,624,124,33,3,18,28,0,6,0,0.0000019073486328125,0,67.710,0.839,67.351,0.59,a1d56ee4
glyph16_U002E,glyph16,10000,200000,123,class_cap,6,36511,7497,1073,tree_cheaper,32688,131,43,544,120,33,3,18,28,0,6,0,0.0000019073486328125,0,1319.550,0.781,1318.963,3.65,a1d56ee4
glyph16_U002F,glyph16,10000,200000,131,class_cap,6,37598,7891,1177,tree_cheaper,29128,131,61,816,184,35,3,28,34,0,11,0,0.000000476837158203125,0,695.545,0.829,694.953,3.70,a1d56ee4
glyph16_U0030,glyph16,10000,200000,5767,class_cap,1,6851,9924,4697,shared,502084,2983,2491,24256,11351,591,73,1463,1463,11,300,0,0.000001132488250732422,0,34.873,16.743,30.770,5.49,a1d56ee4
glyph16_U0031,glyph16,10000,200000,301,class_cap,4,22547,5255,713,tree_cheaper,23504,321,122,1344,407,75,8,67,96,0,24,0,0.0000011920928955078125,0,305.417,1.646,304.819,2.68,a1d56ee4
glyph16_U0032,glyph16,10000,200000,3827,class_cap,1,7766,9763,3953,shared,417008,2043,1508,16032,6829,414,50,965,976,0,195,0,0.0000007152557373046875,0,27.803,11.894,25.253,5.23,a1d56ee4
glyph16_U0033,glyph16,10000,200000,5901,class_cap,1,6721,9917,4797,shared,521432,3097,2630,24784,11845,621,76,1495,1510,1,307,0,0.0000010132789611816406,0,35.170,17.763,30.966,5.51,a1d56ee4
glyph16_U0034,glyph16,10000,200000,335,class_cap,4,22555,5176,707,tree_cheaper,25584,359,119,1360,398,72,9,64,79,0,23,0,0.0000015497207641601563,0,306.762,1.679,306.097,2.67,a1d56ee4
glyph16_U0035,glyph16,10000,200000,4031,class_cap,1,7793,9757,3996,shared,388216,2159,1581,16688,7141,437,53,1025,1035,6,197,0,0.0000017881393432617188,0,28.839,12.915,26.158,5.22,a1d56ee4
glyph16_U0036,glyph16,10000,200000,5793,class_cap,1,6721,9936,4801,shared,508612,3021,2607,24288,11784,604,74,1478,1484,0,311,0,0.000002384185791015625,0,34.511,16.458,30.358,5.50,a1d56ee4
glyph16_U0037,glyph16,10000,200000,199,class_cap,5,31862,7128,974,tree_cheaper,23740,207,90,1088,280,53,5,45,60,0,17,0,0.000000476837158203125,0,775.536,1.240,774.927,3.41,a1d56ee4
glyph16_U0038,glyph16,10000,200000,7671,class_cap,1,6362,9974,5147,shared,589948,3959,3368,31056,15261,812,97,2036,2036,3,355,0,0.000002205371856689453,0,39.439,22.813,33.515,5.84,a1d56ee4
glyph16_U0039,glyph16,10000,200000,5833,class_cap,1,6752,9921,4780,shared,515980,3021,2634,24352,11905,606,74,1488,1488,0,307,0,0.00000286102294921875,0,34.923,17.987,30.696,5.49,a1d56ee4
glyph16_U003A,glyph16,10000,200000,191,class_cap,6,40061,8279,1050,tree_cheaper,38708,207,52,624,143,38,5,23,23,0,7,0,0.000000476837158203125,0,1942.959,1.023,1942.300,4.34,a1d56ee4
glyph16_U003B,glyph16,10000,200000,267,quiesced,12,49487,3722,363,tree_cheaper,8848,283,108,1312,334,65,7,57,81,0,18,0,0.000000476837158203125,0,547.736,6.728,545.734,1.82,a1d56ee4
glyph16_U003C,glyph16,10000,200000,309,class_cap,5,31303,4645,524,tree_cheaper,17468,321,147,1744,474,77,8,76,93,2,28,0,0.0000014901161193847656,0,260.969,1.638,260.356,2.47,a1d56ee4
glyph16_U003D,glyph16,10000,200000,191,class_cap,5,27694,7608,1119,tree_cheaper,26752,207,54,656,148,40,5,25,25,0,7,0,0,0,466.592,1.134,466.041,3.69,a1d56ee4
glyph16_U003E,glyph16,10000,200000,309,class_cap,5,31208,4657,531,tree_cheaper,17736,321,147,1744,474,77,8,76,92,0,28,0,0.0000013113021850585938,0,283.411,1.609,282.845,2.48,a1d56ee4
glyph16_U003F,glyph16,10000,200000,4159,class_cap,1,7579,9759,4142,shared,442012,2311,1683,18800,7502,471,57,1068,1091,1,212,0,0.0000012516975402832031,0,30.713,13.130,27.754,5.27,a1d56ee4
glyph16_U0040,glyph16,10000,200000,7803,class_cap,1,6257,9962,5189,shared,586908,4111,3444,32496,15567,854,101,2097,2107,0,364,0,0.0000018477439880371096,0,39.555,22.488,33.295,5.88,a1d56ee4
glyph16_U0041,glyph16,10000,200000,283,class_cap,4,24717,6007,782,tree_cheaper,25360,283,150,1760,609,71,7,77,95,0,35,0,0.000001430511474609375,0,488.226,1.709,487.604,2.79,a1d56ee4
glyph16_U0042,glyph16,10000,200000,3965,class_cap,1,7791,9750,3981,shared,426244,2121,1541,16080,6988,427,52,1010,1016,0,192,0,0.0000012516975402832031,0,29.963,12.803,27.237,5.22,a1d56ee4
glyph16_U0043,glyph16,10000,200000,3963,class_cap,1,7797,9756,3966,shared,385936,2083,1539,15696,7044,416,51,992,996,0,189,0,0.0000019073486328125,0,28.585,12.042,25.979,5.21,a1d56ee4
glyph16_U0044,glyph16,10000,200000,2027,class_cap,2,13505,9371,2213,shared,182092,1107,752,8352,3235,229,27,516,521,0,79,0,0.0000026226043701171875,0,175.570,7.361,173.976,4.84,a1d56ee4
glyph16_U0045,glyph16,10000,200000,259,class_cap,5,31722,7146,969,tree_cheaper,28352,283,83,928,226,58,7,43,61,0,14,0,0.00000095367431640625,0,677.320,1.334,676.641,3.40,a1d56ee4
glyph16_U0046,glyph16,10000,200000,225,class_cap,5,29586,6855,934,tree_cheaper,23836,245,72,784,196,51,6,36,50,0,12,0,0.0000011920928955078125,0,622.390,1.362,621.761,3.45,a1d56ee4
glyph16_U0047,glyph16,10000,200000,4031,class_cap,1,7743,9758,4028,shared,390476,2159,1593,16608,7195,438,53,1026,1036,0,197,0,0.0000017881393432617188,0,29.450,15.575,26.623,5.22,a1d56ee4
glyph16_U0048,glyph16,10000,200000,259,class_cap,5,29752,6671,880,tree_cheaper,25092,283,68,752,195,52,7,37,46,0,10,0,0.00000095367431640625,0,657.507,1.494,656.829,2.90,a1d56ee4
glyph16_U0049,glyph16,10000,200000,259,class_cap,5,30071,6682,884,tree_cheaper,25180,283,70,768,201,52,7,37,46,0,10,0,0.00000095367431640625,0,687.568,1.396,686.805,2.90,a1d56ee4
glyph16_U004A,glyph16,10000,200000,2111,class_cap,2,13268,9414,2250,shared,206052,1183,794,8976,3349,247,29,545,550,0,84,0,0.0000013709068298339844,0,95.627,8.065,93.977,4.87,a1d56ee4
glyph16_U004B,glyph16,10000,200000,347,class_cap,4,26202,6284,832,tree_cheaper,29472,359,160,1872,612,83,9,82,105,2,37,0,0.0000016689300537109375,0,544.241,1.958,543.518,2.86,a1d56ee4
glyph16_U004C,glyph16,10000,200000,157,class_cap,6,39589,7929,1025,tree_cheaper,35532,169,55,656,151,41,4,26,40,0,9,0,0.00000095367431640625,0,1616.078,1.038,1615.227,3.71,a1d56ee4
glyph16_U004D,glyph16,10000,200000,343,class_cap,4,25362,6023,793,tree_cheaper,27624,359,147,1680,553,83,9,82,112,0,31,0,0.00000095367431640625,0,403.163,2.021,402.540,2.82,a1d56ee4
glyph16_U004E,glyph16,10000,200000,267,class_cap,5,34035,7447,1049,tree_cheaper,30420,283,93,1072,284,63,7,48,75,0,15,0,0.000001430511474609375,0,770.222,1.497,769.577,3.65,a1d56ee4
glyph16_U004F,glyph16,10000,200000,3863,class_cap,1,7985,9760,3819,shared,369336,2007,1467,15408,6722,400,49,976,976,0,188,0,0.000002205371856689453,0,27.676,12.682,25.201,5.22,a1d56ee4
glyph16_U0050,glyph16,10000,200000,2061,class_cap,2,13534,9367,2208,shared,182100,1145,765,8464,3260,233,28,520,522,0,80,0,0.0000018477439880371096,0,179.935,7.987,178.410,4.84,a1d56ee4
glyph16_U0051,glyph16,10000,200000,4461,class_cap,1,7654,9803,4180,shared,418212,2365,1823,18816,8307,478,58,1138,1150,0,234,0,0.0000020265579223632813,0,30.613,14.744,27.560,5.30,a1d56ee4
glyph16_U0052,glyph16,10000,200000,3105,class_cap,2,10711,9859,3081,shared,286660,1709,1172,13248,4995,348,42,789,797,0,122,0,0.0000008940696716308594,0,115.127,9.954,112.934,5.15,a1d56ee4
glyph16_U0053,glyph16,10000,200000,5943,class_cap,1,6607,9943,4896,shared,530492,3135,2728,25776,12233,632,77,1517,1528,0,319,0,0.0000016689300537109375,0,34.819,17.814,30.467,5.52,a1d56ee4
glyph16_U0054,glyph16,10000,200000,191,class_cap,5,27254,6085,744,tree_cheaper,17928,207,62,704,178,47,5,32,50,0,9,0,0.000001430511474609375,0,562.500,1.160,561.902,2.79,a1d56ee4
glyph16_U0055,glyph16,10000,200000,4031,class_cap,1,7810,9745,3950,shared,393860,2159,1500,16624,6815,435,53,1023,1033,6,184,0,0.0000020265579223632813,0,28.142,13.568,25.439,5.24,a1d56ee4
glyph16_U0056,glyph16,10000,200000,207,class_cap,5,34680,6710,850,tree_cheaper,23596,207,97,1184,302,51,5,43,58,0,17,0,0.000003337860107421875,0,882.806,1.645,881.916,2.88,a1d56ee4
glyph16_U0057,glyph16,10000,200000,359,class_cap,4,27866,6892,1040,tree_cheaper,35184,359,185,2144,756,89,9,104,128,0,40,0,0.000002384185791015625,0,844.347,1.819,843.606,3.37,a1d56ee4
glyph16_U0058,glyph16,10000,200000,359,class_cap,4,28325,7262,997,tree_cheaper,36460,359,203,2320,838,89,9,102,126,0,46,0,0.0000026226043701171875,0,700.457,1.847,699.616,3.63,a1d56ee4
glyph16_U0059,glyph16,10000,200000,275,class_cap,4,23234,5344,674,tree_cheaper,21300,283,131,1520,501,69,7,68,89,0,28,0,0.000003337860107421875,0,348.194,1.672,347.563,2.68,a1d56ee4
glyph16_U005A,glyph16,10000,200000,267,class_cap,5,36346,7610,1106,tree_cheaper,30908,283,113,1296,345,68,7,60,84,1,21,0,0.000001430511474609375,0,1061.958,2.187,1061.342,3.68,a1d56ee4
glyph16_U005B,glyph16,10000,200000,191,quiesced,7,16687,1526,152,tree_cheaper,2372,207,64,752,170,44,5,29,39,0,10,0,0.000000476837158203125,0,101.839,1.354,101.403,0.71,a1d56ee4
glyph16_U005C,glyph16,10000,200000,131,class_cap,6,37505,7873,1210,tree_cheaper,29964,131,65,864,192,35,3,28,34,0,11,0,0.000000476837158203125,0,698.885,0.905,698.307,3.70,a1d56ee4
glyph16_U005D,glyph16,10000,200000,191,quiesced,7,16993,1557,153,tree_cheaper,2360,207,65,752,175,45,5,30,39,0,10,0,0.000000476837158203125,0,112.984,1.347,112.584,0.72,a1d56ee4
glyph16_U005E,glyph16,10000,200000,207,class_cap,4,21381,6394,978,tree_cheaper,22816,207,111,1344,409,53,5,52,64,0,20,0,0.000000476837158203125,0,228.827,1.789,228.294,2.84,a1d56ee4
glyph16_U005F,glyph16,10000,200000,123,class_cap,6,33484,5177,522,tree_cheaper,13244,131,44,576,115,31,3,18,28,0,5,0,0.00000286102294921875,0,865.385,1.096,864.884,2.56,a1d56ee4
glyph16_U0060,glyph16,10000,200000,131,class_cap,5,29135,7890,1383,tree_cheaper,22096,131,69,912,200,35,3,28,34,0,11,0,0.0000007152557373046875,0,390.177,0.949,389.670,3.73,a1d56ee4
glyph16_U0061,glyph16,10000,200000,5517,class_cap,1,6862,9912,4681,shared,493348,2929,2454,23184,10999,589,72,1400,1413,1,290,0,0.0000019073486328125,0,33.962,17.905,29.917,5.47,a1d56ee4
glyph16_U0062,glyph16,10000,200000,3981,class_cap,1,7796,9753,3974,shared,385384,2121,1550,15904,7055,426,52,1009,1013,0,192,0,0.0000023245811462402344,0,28.843,13.271,26.127,5.22,a1d56ee4
glyph16_U0063,glyph16,10000,200000,3963,class_cap,1,7772,9762,3989,shared,387264,2083,1547,15760,7067,416,51,992,996,0,192,0,0.000002384185791015625,0,28.993,12.682,26.310,5.21,a1d56ee4
glyph16_U0064,glyph16,10000,200000,3981,class_cap,1,7807,9753,3975,shared,384784,2121,1550,15968,7072,428,52,1004,1017,0,195,0,0.000002384185791015625,0,28.710,12.630,25.946,5.22,a1d56ee4
glyph16_U0065,glyph16,10000,200000,4035,class_cap,1,7714,9757,4045,shared,392120,2159,1611,16608,7275,439,53,1025,1040,0,199,0,0.000001430511474609375,0,28.673,13.907,25.903,5.22,a1d56ee4
glyph16_U0066,glyph16,10000,200000,1245,class_cap,2,14204,8800,2242,shared,189200,809,456,4944,1875,157,20,289,302,0,52,0,0.0000006556510925292969,0,118.463,5.129,117.239,4.68,a1d56ee4
glyph16_U0067,glyph16,10000,200000,5969,class_cap,1,6733,9935,4808,shared,520648,3173,2666,25824,11990,636,78,1510,1534,3,318,0,0.0000033676624298095703,0,35.096,18.559,30.611,5.52,a1d56ee4
glyph16_U0068,glyph16,10000,200000,2145,class_cap,2,13396,9450,2188,shared,186948,1221,792,8928,3341,249,30,541,548,0,83,0,0.0000013113021850585938,0,177.602,7.886,176.031,4.87,a1d56ee4
glyph16_U0069,glyph16,10000,200000,293,class_cap,5,33099,7438,1050,tree_cheaper,34440,321,84,960,237,61,8,46,60,0,13,0,0.000000476837158203125,0,780.670,1.639,779.740,3.66,a1d56ee4
glyph16_U006A,glyph16,10000,200000,1211,class_cap,2,13812,8784,2306,shared,201816,771,473,4992,1958,155,19,287,303,0,55,0,0.0000030994415283203125,0,63.911,4.893,62.866,4.68,a1d56ee4
glyph16_U006B,glyph16,10000,200000,347,class_cap,4,26316,6313,838,tree_cheaper,30108,359,163,1920,616,84,9,83,106,2,38,0,0.0000016689300537109375,0,476.157,1.936,475.559,2.87,a1d56ee4
glyph16_U006C,glyph16,10000,200000,1143,class_cap,2,13771,8892,2298,shared,190088,695,437,4688,1827,146,17,278,296,0,53,0,0.0000015497207641601563,0,78.481,4.783,77.444,4.68,a1d56ee4
glyph16_U006D,glyph16,10000,200000,4133,class_cap,1,7822,9769,3903,shared,416728,2273,1519,17248,6884,447,56,1017,1031,22,196,0,0.0000015497207641601563,0,28.485,13.708,25.635,5.26,a1d56ee4
glyph16_U006E,glyph16,10000,200000,2145,class_cap,2,13401,9447,2185,shared,183972,1221,788,8832,3344,249,30,541,548,0,83,0,0.0000025033950805664063,0,178.485,7.932,176.920,4.87,a1d56ee4
glyph16_U006F,glyph16,10000,200000,3863,class_cap,1,8095,9763,3731,shared,364936,2007,1391,15712,6402,398,49,974,974,13,178,0,0.0000021457672119140625,0,27.556,12.144,25.084,5.23,a1d56ee4
glyph16_U0070,glyph16,10000,200000,3981,class_cap,1,7802,9757,3980,shared,385288,2121,1545,16016,7066,427,52,1010,1016,0,194,0,0.0000023245811462402344,0,28.608,13.250,25.931,5.22,a1d56ee4
glyph16_U0071,glyph16,10000,200000,3981,class_cap,1,7789,9757,3981,shared,386320,2121,1546,15792,7065,427,52,1003,1014,0,193,0,0.0000021457672119140625,0,29.484,13.094,26.789,5.22,a1d56ee4
glyph16_U0072,glyph16,10000,200000,2127,class_cap,2,13154,9505,2251,shared,192112,1183,799,8928,3349,241,29,528,535,0,82,0,0.0000010728836059570313,0,149.041,8.114,147.111,4.88,a1d56ee4
glyph16_U0073,glyph16,10000,200000,5739,class_cap,1,6674,9931,4821,shared,514500,3051,2615,25136,11687,618,75,1475,1486,1,310,0,0.0000017136335372924805,0,35.383,19.103,31.114,5.51,a1d56ee4
glyph16_U0074,glyph16,10000,200000,1245,class_cap,2,14085,8777,2218,shared,191496,809,460,4864,1907,156,20,288,301,0,57,0,0.000000476837158203125,0,87.836,5.144,86.735,4.68,a1d56ee4
glyph16_U0075,glyph16,10000,200000,2145,class_cap,2,13292,9410,2229,shared,204812,1221,800,8944,3367,250,30,536,550,0,84,0,0.000001728534698486328,0,96.166,9.218,94.557,4.87,a1d56ee4
glyph16_U0076,glyph16,10000,200000,207,class_cap,5,34668,6721,885,tree_cheaper,24772,207,103,1296,337,53,5,52,64,0,20,0,0.00000095367431640625,0,882.731,1.244,882.163,2.88,a1d56ee4
glyph16_U0077,glyph16,10000,200000,359,class_cap,4,26280,6195,813,tree_cheaper,29256,359,181,2096,751,87,9,102,126,0,38,0,0.000001430511474609375,0,571.316,1.952,570.677,2.85,a1d56ee4
glyph16_U0078,glyph16,10000,200000,359,class_cap,4,28471,7311,996,tree_cheaper,36328,359,202,2304,838,89,9,102,126,0,46,0,0.00000095367431640625,0,703.359,1.901,702.709,3.64,a1d56ee4
glyph16_U0079,glyph16,10000,200000,1693,class_cap,2,12769,9370,2601,shared,240536,977,670,7600,2818,210,24,437,449,0,71,0,0.0000011920928955078125,0,51.555,6.717,49.722,4.84,a1d56ee4
glyph16_U007A,glyph16,10000,200000,267,class_cap,5,35641,7587,1116,tree_cheaper,30988,283,108,1296,330,64,7,56,72,1,20,0,0.000003337860107421875,0,982.670,1.519,981.957,3.68,a1d56ee4
glyph16_U007B,glyph16,10000,200000,4101,class_cap,1,7718,9732,4041,shared,395052,2273,1598,16656,7145,455,56,1037,1053,0,194,0,0.0000013113021850585938,0,29.450,14.099,26.435,5.24,a1d56ee4
glyph16_U007C,glyph16,10000,200000,123,class_cap,5,24237,7269,983,tree_cheaper,24364,131,45,576,125,35,3,20,30,0,6,0,0.0000002980232238769531,0,493.050,0.909,492.169,3.63,a1d56ee4
glyph16_U007D,glyph16,10000,200000,4101,class_cap,1,7717,9739,4040,shared,394104,2273,1597,16528,7176,456,56,1032,1055,0,196,0,0.0000012516975402832031,0,30.921,14.745,27.964,5.24,a1d56ee4
glyph16_U007E,glyph16,10000,200000,3995,class_cap,1,7827,9753,3986,shared,395180,2083,1563,16160,7098,421,51,1004,1009,0,192,0,0,0,47.838,21.029,45.024,5.21,a1d56ee4
glyph32_U0020,glyph32,10000,200000,1,quiesced,1,0,1,1,tree_cheaper,4,1,1,164,0,1,0,0,0,0,0,0,0,0,0.383,0.216,0.013,0.00,a1d56ee4
glyph32_U0021,glyph32,10000,200000,267,class_cap,5,34659,7498,1103,tree_cheaper,30688,283,91,1104,275,56,7,48,54,0,15,0,0,0,877.172,2.036,876.573,3.66,a1d56ee4
glyph32_U0022,glyph32,10000,200000,191,quiesced,7,17694,1642,151,tree_cheaper,2276,207,62,736,175,46,5,31,49,0,8,0,0,0,120.047,1.191,119.448,0.84,a1d56ee4
glyph32_U0023,glyph32,10000,200000,647,class_cap,3,17063,6079,940,tree_cheaper,44316,663,276,2720,1071,144,17,143,207,0,39,0,0.0000019073486328125,0,210.673,3.337,209.794,2.91,a1d56ee4
glyph32_U0024,glyph32,10000,200000,6151,class_cap,1,6451,9939,5014,shared,552712,3363,2850,26752,12604,680,83,1574,1602,0,329,0,0.0000030994415283203125,0,35.944,22.028,31.233,5.57,a1d56ee4
glyph32_U0025,glyph32,10000,200000,8791,class_cap,1,5403,9988,5462,shared,588820,4599,3870,35024,17563,982,113,2442,2442,0,391,0,0.00000196695327758789,0,42.016,29.077,34.411,6.02,a1d56ee4
glyph32_U0026,glyph32,10000,200000,7719,class_cap,1,6117,9971,5282,shared,594640,4103,3522,34064,15751,859,101,2076,2093,0,370,0,0.000002384185791015625,0,39.414,25.995,33.072,5.89,a1d56ee4
glyph32_U0027,glyph32,10000,200000,123,quiesced,7,12774,1152,108,tree_cheaper,1208,131,46,592,124,33,3,18,28,0,6,0,0,0,73.768,1.052,73.311,0.64,a1d56ee4
glyph32_U0028,glyph32,10000,200000,1959,class_cap,2,12387,9583,2616,shared,252472,1031,732,8048,3138,210,25,490,490,0,75,0,0.0000006556510925292969,0,55.385,7.575,53.946,4.89,a1d56ee4
glyph32_U0029,glyph32,10000,200000,1777,class_cap,2,12038,9562,2783,shared,261800,953,674,7440,2903,197,23,448,448,0,72,0,0.0000015497207641601563,0,51.443,6.974,49.796,4.88,a1d56ee4
glyph32_U002A,glyph32,10000,200000,647,class_cap,3,18399,7293,1154,tree_cheaper,48208,663,304,3072,1236,142,17,155,197,0,45,0,0.0000019073486328125,0,222.401,3.319,221.569,3.79,a1d56ee4
glyph32_U002B,glyph32,10000,200000,259,class_cap,28,161545,5448,324,tree_cheaper,7744,283,73,816,205,52,7,37,46,0,10,0,0,0,1128.560,1.428,1127.930,2.63,a1d56ee4
glyph32_U002C,glyph32,10000,200000,199,quiesced,7,28182,2752,268,tree_cheaper,5252,207,88,1072,276,51,5,43,58,0,15,0,0.000000476837158203125,0,188.595,1.253,188.045,1.33,a1d56ee4
glyph32_U002D,glyph32,10000,200000,123,quiesced,7,12610,1138,110,tree_cheaper,1232,131,47,624,124,33,3,18,28,0,6,0,0,0,66.786,0.850,66.476,0.59,a1d56ee4
glyph32_U002E,glyph32,10000,200000,123,class_cap,6,36512,7496,1073,tree_cheaper,32708,131,43,544,120,33,3,18,28,0,6,0,0,0,1259.312,0.876,1258.658,3.65,a1d56ee4
glyph32_U002F,glyph32,10000,200000,131,class_cap,6,37598,7891,1177,tree_cheaper,29128,131,61,816,184,35,3,28,34,0,11,0,0.0000019073486328125,0,697.447,0.926,696.826,3.70,a1d56ee4
glyph32_U0030,glyph32,10000,200000,5767,class_cap,1,6851,9924,4697,shared,502084,2983,2491,24256,11351,591,73,1463,1463,11,300,0,0.0000019073486328125,0,34.722,18.917,30.601,5.49,a1d56ee4
glyph32_U0031,glyph32,10000,200000,301,class_cap,4,22547,5256,713,tree_cheaper,23504,321,122,1344,407,75,8,67,96,0,24,0,0.0000010728836059570313,0,304.561,1.793,303.894,2.68,a1d56ee4
glyph32_U0032,glyph32,10000,200000,3827,class_cap,1,7766,9763,3953,shared,417008,2043,1508,16032,6829,414,50,965,976,0,195,0,0.0000012516975402832031,0,29.426,13.155,26.731,5.23,a1d56ee4
glyph32_U0033,glyph32,10000,200000,5901,class_cap,1,6721,9917,4797,shared,521432,3097,2630,24784,11845,621,76,1495,1510,1,307,0,0.0000007748603820800781,0,34.650,18.982,30.508,5.51,a1d56ee4
glyph32_U0034,glyph32,10000,200000,335,class_cap,4,22555,5177,707,tree_cheaper,25584,359,119,1360,398,72,9,64,79,0,23,0,0.000000476837158203125,0,305.094,1.788,304.445,2.67,a1d56ee4
glyph32_U0035,glyph32,10000,200000,4031,class_cap,1,7793,9757,3996,shared,388216,2159,1581,16688,7141,437,53,1025,1035,6,197,0,0.0000016689300537109375,0,28.536,13.428,25.894,5.22,a1d56ee4
glyph32_U0036,glyph32,10000,200000,5793,class_cap,1,6721,9936,4801,shared,508612,3021,2607,24288,11784,604,74,1478,1484,0,311,0,0.000002205371856689453,0,34.956,20.414,30.717,5.50,a1d56ee4
glyph32_U0037,glyph32,10000,200000,199,class_cap,5,31862,7129,974,tree_cheaper,23740,207,90,1088,280,53,5,45,60,0,17,0,0.000000476837158203125,0,766.892,1.453,766.301,3.41,a1d56ee4
glyph32_U0038,glyph32,10000,200000,7671,class_cap,1,6362,9974,5147,shared,589948,3959,3368,31056,15261,812,97,2036,2036,3,355,0,0.0000012516975402832031,0,39.205,24.275,33.244,5.84,a1d56ee4
glyph32_U0039,glyph32,10000,200000,5833,class_cap,1,6752,9921,4780,shared,515980,3021,2634,24352,11905,606,74,1488,1488,0,307,0,0.000003337860107421875,0,35.209,19.643,30.885,5.49,a1d56ee4
glyph32_U003A,glyph32,10000,200000,191,class_cap,6,40061,8279,1050,tree_cheaper,38708,207,52,624,143,38,5,23,23,0,7,0,0,0,1956.826,1.125,1956.135,4.34,a1d56ee4
glyph32_U003B,glyph32,10000,200000,267,quiesced,12,49487,3723,363,tree_cheaper,8848,283,108,1312,334,65,7,57,81,0,18,0,0.000000476837158203125,0,537.543,1.633,537.038,1.82,a1d56ee4
glyph32_U003C,glyph32,10000,200000,309,class_cap,5,31303,4646,524,tree_cheaper,17468,321,147,1744,474,77,8,76,93,2,28,0,0.0000019073486328125,0,259.264,1.759,258.748,2.47,a1d56ee4
